Announced Date,Organization Description,Organization Name,Organization Name URL,Organization Industries,Organization Location,Transaction Name,Transaction Name URL,Number of Investors,Investor Names,Funding Stage,Lead Investors,Funding Type,Number of Funding Rounds,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Partner Investors,CB Rank (Funding Round)
2010-07-01,Sangon Biotech is engaged in the research and development of chemical synthesis of DNA.,Sangon Biotech,https://www.crunchbase.com/organization/sangon-biotech,"Biotechnology, Genetics","Shanghai, Shanghai, China, Asia",Series A - Sangon Biotech,https://www.crunchbase.com/funding_round/sangon-biotech-series-a--bbbcb337,1,Qiming Venture Partners,Early Stage Venture,Qiming Venture Partners,Series A,2,6200000,USD,6200000,,,,296640162,USD,296640162,Yes,,http://www.sangon.com,$500M to $1B,,1,"84,444"
2010-12-01,"Shineon specializes in high-brightness LED (HB LED) packaging products, as well as high-brightness chip and application products.",Shineon,https://www.crunchbase.com/organization/shineon,"Advanced Materials, Manufacturing, Product Design","Beijing, Beijing, China, Asia",Series B - Shineon,https://www.crunchbase.com/funding_round/shineon-series-b--b2f62ea2,3,"GSR Ventures, IDG Capital, Northern Light Venture Capital",Early Stage Venture,,Series B,4,50000000,USD,50000000,,,,115178207,USD,115178207,Yes,,http://www.shineon.cn,$1M to $10M,Late Stage Venture,1,"114,562"
2009-01-01,"Brite Semiconductor is aimed at assembling optimum IP, foundry, test, and packaging technologies to create custom silicon solutions.",Brite Semiconductor,https://www.crunchbase.com/organization/brite-semiconductor,"Electronics, Manufacturing, Semiconductor","Shanghai, Shanghai, China, Asia",Series A - Brite Semiconductor,https://www.crunchbase.com/funding_round/brite-semiconductor-series-a--7052da5c,3,"Gobi Partners, Norwest Venture Partners, Semiconductor Manufacturing International",Early Stage Venture,,Series A,4,6700000,USD,6700000,,,,80934364,USD,80934364,Yes,,http://www.britesemi.com,$10M to $50M,Late Stage Venture,2,"147,640"
2009-12-01,Cwbio IT Group provides high quality biology reagents in life science research and molecular diagnostics field.,Cwbio IT Group,https://www.crunchbase.com/organization/cwbio-it-group,"AgTech, Biotechnology, Life Science, Manufacturing, Medical","Changping, Beijing, China, Asia",Series A - Cwbio IT Group,https://www.crunchbase.com/funding_round/cwbio-it-group-series-a--97842536,1,Tsing-Yuan Capital,Early Stage Venture,,Series A,3,,,,,,,248000000,CNY,36088008,Yes,,https://www.cwbiotech.com/,,,,"161,196"
2010-12-01,WeDoctor is a medical health technology platform that offers online services for hospitals and doctors on-site.,WeDoctor,https://www.crunchbase.com/organization/guahao,"Health Care, Hospitality, Internet, Medical","Xiaoshan, Zhejiang, China, Asia",Series A - WeDoctor,https://www.crunchbase.com/funding_round/guahao-series-a--10ec6312,2,"Cybernaut Venture Capital, Fenghe Capital",Early Stage Venture,,Series A,7,159451600,CNY,23929351,,,,1455429351,USD,1455429351,Yes,,https://www.guahao.com,$100M to $500M,Late Stage Venture,,"176,763"
2010-02-01,Shandong Linglong Tyre is a leading Chinese tire manufacturer,Linglong Tyre,https://www.crunchbase.com/organization/shandong-linglong-tyre,"Automotive, Industrial Manufacturing, Manufacturing","Shandong, Fujian, China, Asia",Series A - Linglong Tyre,https://www.crunchbase.com/funding_round/shandong-linglong-tyre-series-a--fe1f966e,4,"Haitong Capital, Legend Holdings, Puhua Capital, Yuanhe Holding",Early Stage Venture,,Series A,3,,,,,,,,,,Yes,,http://en.linglong.cn/,,IPO,,"189,394"
2010-12-01,Letao is a Chinese website that operates as an online retailer of footwear including sneakers and leather shoes.,Letao,https://www.crunchbase.com/organization/letao,"E-Commerce, Internet, Shoes","Fengtai, Beijing, China, Asia",Series C - Letao,https://www.crunchbase.com/funding_round/letao-series-c--22e6c44a,3,"Ceyuan Ventures, DT Capital Partners, Tiger Fund",Late Stage Venture,"Ceyuan Ventures, DT Capital Partners, Tiger Fund",Series C,6,32472800,USD,32472800,,,,76472800,USD,76472800,Yes,,http://letao.com/,$1M to $10M,,,"212,113"
2010-12-01,"Reach Surgical is a company focused on providing surgical instruments and medical equipments, integrating R&D, production, and sales.",Reach Surgical,https://www.crunchbase.com/organization/reach-surgical,"Health Care, Hospitality","Tianjin, Guangdong, China, Asia",Venture Round - Reach Surgical,https://www.crunchbase.com/funding_round/reach-surgical-series-unknown--a3cb3fa1,4,"China Renaissance Capital Investment, Kaiwu Capital, Legend Capital, Matrix Partners China",,Kaiwu Capital,Venture - Series Unknown,1,,,,,,,,,,Yes,,http://www.reachsurgical.com/,,,,"217,333"
2010-11-16,WinChannel is an enterprise focused on delivering marketing management solutions in the consumer goods industry.,Winchannel,https://www.crunchbase.com/organization/winchannel,"Apparel, Consumer Goods, Enterprise Software, Marketing","Haidian, Beijing, China, Asia",Series A - Winchannel,https://www.crunchbase.com/funding_round/winchannel-series-a--ae542a7d,2,"Intel Capital, SIG China (SIG Asia Investments)",Early Stage Venture,"Intel Capital, SIG China (SIG Asia Investments)",Series A,1,2000000,USD,2000000,,,,2000000,USD,2000000,Yes,,http://winchannel.net/en,,Early Stage Venture,,"223,834"
2010-05-25,Arrail Dental Clinic is specialized in providing oral health care services to its clients both home and abroad.,Arrail Dental Clinic,https://www.crunchbase.com/organization/arrail-dental-clinic,"Dental, Health Care, Medical","Beijing, Beijing, China, Asia",Series A - Arrail Dental Clinic,https://www.crunchbase.com/funding_round/arrail-dental-clinic-series-a--5404cd18,2,"KPCB China, Qiming Venture Partners",Early Stage Venture,"KPCB China, Qiming Venture Partners",Series A,5,20000000,USD,20000000,,,,400000000,USD,400000000,Yes,,http://www.arrailgroup.com,$100M to $500M,Late Stage Venture,1,"237,921"
