Announced Date,Organization Description,Organization Name,Organization Name URL,Organization Industries,Organization Location,Transaction Name,Transaction Name URL,Number of Investors,Investor Names,Funding Stage,Lead Investors,Funding Type,Number of Funding Rounds,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Partner Investors,CB Rank (Funding Round)
2017-05-01,Real-time financial risk management company based in Hangzhou.,Bangsun Technology,https://www.crunchbase.com/organization/bangsun-technology,"Financial Services, FinTech, Risk Management","Hangzhou, Zhejiang, China, Asia",Series B - Bangsun Technology,https://www.crunchbase.com/funding_round/bangsun-technology-series-b--8426a3b6,5,"Cornerstone Capital, F&G Venture, Hongling Capital, Legend Capital, Magic Capital",Early Stage Venture,F&G Venture,Series B,6,160000000,CNY,23207241,,,,121751572,USD,121751572,Yes,,https://www.bsfit.com.cn/,,,,"85,731"
2017-05-01,Vongi provide medical solution design and product design.,Vongi,https://www.crunchbase.com/organization/vongi,"Biotechnology, Health Care","Hangzhou, Zhejiang, China, Asia",Series A - Vongi,https://www.crunchbase.com/funding_round/vongi-series-a--3b0446ba,1,Qiming Venture Partners,Early Stage Venture,Qiming Venture Partners,Series A,3,6000000,USD,6000000,,,,8860000,USD,8860000,Yes,,https://www.vongihealth.com,,Early Stage Venture,1,"99,232"
2017-05-01,Genrui Biotech is a developer and manufacturer of IVD equipment and reagents.,Genrui Biotech,https://www.crunchbase.com/organization/genrui-biotech,"Biotechnology, Manufacturing","Shenzhen, Guangdong, China, Asia",Series A - Genrui Biotech,https://www.crunchbase.com/funding_round/genrui-biotech-series-a--4d8b434b,6,"ASBV, Fortune Venture Capital, Share Capital, T-Rex Capital, Timesbole, Watson Investment",Early Stage Venture,,Series A,5,,,,,,,150000000,CNY,24186714,Yes,,http://geniusmedica.net/,$1M to $10M,,,"114,829"
2017-05-01,Huoyanyun is a marketing growth acceleration platform that provides customer marketing solutions and digital marketing products.,Huoyanyun,https://www.crunchbase.com/organization/huoyanyun,"Big Data, Information Services, Marketing","Haidian, Beijing, China, Asia",Angel Round - Huoyanyun,https://www.crunchbase.com/funding_round/huoyanyun-angel--6232f543,2,"Stream Hill Angels, Taichi Capital",Seed,Stream Hill Angels,Angel,4,3000000,CNY,435136,,,,64000000,CNY,9263814,Yes,,https://huoyan.cn/,,Early Stage Venture,,"118,793"
2017-05-11,"Design and manufacturing of Waveguide, freeform prism optical engines for augmented reality.","Shenzhen Lochn Optics Technology Co.,Ltd",https://www.crunchbase.com/organization/shenzhen-lochn-optics-technology-co-ltd,"Augmented Reality, Consumer Electronics, Manufacturing, Product Design, Virtual Reality, Wearables","Shenzhen, Guangdong, China, Asia","Angel Round - Shenzhen Lochn Optics Technology Co.,Ltd",https://www.crunchbase.com/funding_round/shenzhen-lochn-optics-technology-co-ltd-angel--6f95a4f4,1,Tsing Ventures,Seed,Tsing Ventures,Angel,4,,,,,,,20051986,USD,20051986,Yes,,https://www.lochn.com,$10M to $50M,Late Stage Venture,,"121,206"
2017-06-01,Feiliu is a provider of enterprise supply chain management and optimization technology based on artificial intelligence.,Feiliu,https://www.crunchbase.com/organization/feiliu-tech,"Artificial Intelligence (AI), Information Technology, Logistics, Software, Supply Chain Management","Shanghai, Shanghai, China, Asia",Seed Round - Feiliu,https://www.crunchbase.com/funding_round/feiliu-tech-seed--f3e87690,1,SkyChee Ventures,Seed,SkyChee Ventures,Seed,2,,,,,,,200000000,CNY,31397174,Yes,,http://www.huokeyi.com,,Early Stage Venture,,"123,765"
2017-04-06,YIBEI is a medical technology company based on digital services.,YIBEI,https://www.crunchbase.com/organization/yibei,"E-Commerce, Medical, Medical Device","Hangzhou, Zhejiang, China, Asia",Angel Round - YIBEI,https://www.crunchbase.com/funding_round/yibei-angel--7fcfe130,2,"Haibang Capital, Zhejiang Pudu Technology",Seed,Zhejiang Pudu Technology,Angel,2,3000000,CNY,434928,,,,3000000,CNY,434928,Yes,,http://aek56.com,,Early Stage Venture,,"126,682"
2017-05-20,"Prismlab is a high-tech enterprise, which focuses on optomechatronics and computer hardware/software.",Prismlab China Ltd,https://www.crunchbase.com/organization/prismlab-china-ltd,"3D Technology, Manufacturing, Software","Xinzhuang, Shanghai, China, Asia",Series A - Prismlab China Ltd,https://www.crunchbase.com/funding_round/prismlab-china-ltd-series-a--a0257e4a,1,CM Venture Capital,Early Stage Venture,CM Venture Capital,Series A,2,50000000,CNY,7261584,,,,250000000,CNY,36366040,Yes,,http://www.prismlab.com,Less than $1M,Late Stage Venture,,"131,947"
2017-05-08,FydeOS is a customized cloud-driven operating system for students.,FydeOS,https://www.crunchbase.com/organization/fydeos,"Cloud Data Services, Education, Operating Systems, Software","Haidian, Beijing, China, Asia",Seed Round - FydeOS,https://www.crunchbase.com/funding_round/fydeos-seed--e3b93ae4,1,Plug and Play China,Seed,Plug and Play China,Seed,2,1000000,CNY,144835,,,,11000000,CNY,1729772,Yes,,https://fydeos.com/,$1M to $10M,Seed,,"131,969"
2017-03-30,17zhiliao.com provides internet based background check service.,17zhiliao.com,https://www.crunchbase.com/organization/17zhiliao-com,"Information Technology, Internet","Shanghai, Shanghai, China, Asia",Series A - 17zhiliao.com,https://www.crunchbase.com/funding_round/17zhiliao-com-series-a--7dc4be30,1,ShitengHongcheng,Early Stage Venture,ShitengHongcheng,Series A,2,20000000,CNY,2903242,,,,20000000,CNY,2903242,Yes,,https://www.17zhiliao.com,$1M to $10M,Early Stage Venture,,"131,990"
