Announced Date,Organization Description,Organization Name,Organization Name URL,Organization Industries,Organization Location,Transaction Name,Transaction Name URL,Number of Investors,Investor Names,Funding Stage,Lead Investors,Funding Type,Number of Funding Rounds,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Partner Investors,CB Rank (Funding Round)
2017-07-27,WeWork China is a subsidiary of WeWork that provides a shared workspace community and office services.,WeWork China,https://www.crunchbase.com/organization/wework-china,"Coworking, Real Estate","Shanghai, Shanghai, China, Asia",Series A - WeWork China,https://www.crunchbase.com/funding_round/wework-china-series-a--20086312,12,"Aleph, Benchmark, China Oceanwide, Fidelity, Goldman Sachs, Greenland Hong Kong Holdings Limited, Hony Capital, JP Morgan Chase, Legend Holdings, SoftBank Vision Fund, T. Rowe Price, Wellington Management",Early Stage Venture,SoftBank Vision Fund,Series A,3,500000000,USD,500000000,500000000,USD,500000000,1200000000,USD,1200000000,Yes,,https://wework.cn/,$1B to $10B,Private Equity,2,"68,512"
2017-09-01,"Founded in 2004, Smartee is a leading Clear Aligner brand in China.",Smartee Denti-Technology,https://www.crunchbase.com/organization/smartee-denti-technology,"3D Technology, Dental, Education, Health Care, Information Technology","Shanghai, Shanghai, China, Asia",Series B - Smartee Denti-Technology,https://www.crunchbase.com/funding_round/smartee-denti-technology-series-b--9fe31f7d,2,"BioVenture, CD Capital",Early Stage Venture,"BioVenture, CD Capital",Series B,3,50000000,CNY,7620499,,,,87620499,USD,87620499,Yes,,http://www.smartee.uk,$100M to $500M,Late Stage Venture,,"84,738"
2017-09-01,Restaurant SaaS and Virtual Brands in China,Zaihui,https://www.crunchbase.com/organization/zaihui,"Internet, Marketing Automation, Restaurants, SaaS, Social Media Marketing","Shanghai, Shanghai, China, Asia",Series B - Zaihui,https://www.crunchbase.com/funding_round/zaihui-series-b--11377678,4,"Blue Lake Capital, DCM Ventures, Lightspeed China Partners, ZhenFund",Early Stage Venture,Blue Lake Capital,Series B,6,20000000,USD,20000000,,,,276000000,USD,276000000,Yes,,http://www.kezaihui.com,,Late Stage Venture,1,"111,063"
2017-08-17,HiScene focuses on researching and developing core technologies and products for augmented reality.,HiScene,https://www.crunchbase.com/organization/hiscene,"Artificial Intelligence (AI), Augmented Reality, Software","Shanghai, Shanghai, China, Asia",Series B - HiScene,https://www.crunchbase.com/funding_round/hiscene-series-b--b1742042,4,"Meitu, Seekdource, Sincere Capital, VStar Capital",Early Stage Venture,Seekdource,Series B,7,15000000,USD,15000000,,,,109421724,USD,109421724,Yes,,https://www.hiscene.com,$1M to $10M,Late Stage Venture,,"113,762"
2017-06-23,Zhulogic offers home soft decoration solutions.,Banlan Information Technology (Shanghai) Co. Ltd.,https://www.crunchbase.com/organization/banlan-information-technology-shanghai-co-ltd,"Furniture, Interior Design, Manufacturing","Shanghai, Shanghai, China, Asia",Seed Round - Banlan Information Technology (Shanghai) Co. Ltd.,https://www.crunchbase.com/funding_round/banlan-information-technology-shanghai-co-ltd-seed--97123eb6,2,"Aqua Ventures, ZhenFund",Seed,ZhenFund,Seed,4,5000000,CNY,731347,,,,145888838,CNY,22149843,Yes,,https://www.zhulogic.com,,Early Stage Venture,,"118,350"
2017-08-23,"Maihaoche.com is an automotive e-commerce platform that provide an integrated services of finance, warehouse and logistics services.",Maihaoche.com,https://www.crunchbase.com/organization/maihaoche-com,"Automotive, E-Commerce, Marketplace","Hangzhou, Zhejiang, China, Asia",Series B - Maihaoche.com,https://www.crunchbase.com/funding_round/maihaoche-com-series-b--d5578e57,2,"Northern Light Venture Capital, Welight Capital",Early Stage Venture,Welight Capital,Series B,6,200000000,CNY,30034991,,,,100034991,USD,100034991,Yes,,https://www.maihaoche.com/,$1M to $10M,,1,"118,595"
2017-07-15,QYSEA is a technology company that provides research and development of underwater robot systems and remotely operated underwater vehicles.,QYSEA,https://www.crunchbase.com/organization/qysea,"Marine Technology, Robotic Process Automation (RPA), Robotics, Virtual Reality","Shenzhen, Guangdong, China, Asia",Series A - QYSEA,https://www.crunchbase.com/funding_round/qysea-series-a--930bfc84,1,SkyChee Ventures,Early Stage Venture,SkyChee Ventures,Series A,3,,,,,,,3177586,USD,3177586,Yes,,https://www.qysea.com,$1M to $10M,Early Stage Venture,,"123,771"
2017-07-01,OPUS develops clinically applicable tissue engineering products and treatments.,OPUS,https://www.crunchbase.com/organization/opus-62fa,Health Care,"Suzhou, Jiangsu, China, Asia",Angel Round - OPUS,https://www.crunchbase.com/funding_round/opus-62fa-angel--ef418e54,1,Qiming Venture Partners,Seed,Qiming Venture Partners,Angel,2,1000000,USD,1000000,,,,1000000,USD,1000000,Yes,,,,Early Stage Venture,1,"125,627"
2017-07-28,"Haimawan is a provider of mobile content cloud computing services, focusing on mobile gaming, advertising and enterprise mobile messaging.",Haimawan,https://www.crunchbase.com/organization/haimawan,"Developer Platform, Gaming, Operating Systems","Beijing, Beijing, China, Asia",Series C - Haimawan,https://www.crunchbase.com/funding_round/haimawan-series-c--0045bc90,1,Elefirst Science & Technology,Late Stage Venture,Elefirst Science & Technology,Series C,4,58000000,USD,58000000,,,,118101198,USD,118101198,Yes,,http://www.haimawan.com/,$50M to $100M,,,"127,303"
2017-09-08,"LIGOO specializes in technical research, product development, and system integration of the battery management system.",LIGOO,https://www.crunchbase.com/organization/ligoo,"Automotive, Electric Vehicle, Energy, Manufacturing","Hefei, Anhui, China, Asia",Series B - LIGOO,https://www.crunchbase.com/funding_round/ligoo-series-b--24500ac2,7,"Haitong Capital, Jiaxing Xiaoyuan Chuangye Touzi Hehuo Qiye, Ningbo Meishan Baoshui Gangqu Saiyi Boying Touzi Guanli Zhongxin, Pusu Capital, Shenzhen Cema Xinnengyuan Touzi Hehuo Qiye, ShenZhen GTJA Investment Group, V Fund Management",Early Stage Venture,,Series B,3,19950000,CNY,3078822,,,,39850000,CNY,6104167,Yes,,http://www.ligoo.cn/,,,,"127,949"
