Announced Date,Organization Description,Organization Name,Organization Name URL,Organization Industries,Organization Location,Transaction Name,Transaction Name URL,Number of Investors,Investor Names,Funding Stage,Lead Investors,Funding Type,Number of Funding Rounds,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Partner Investors,CB Rank (Funding Round),Sentiment
2023-04-08,Yuweitek offers clients competitive goods and technological solutions.,Yuweitek,https://www.crunchbase.com/organization/yuweitek,"Application Specific Integrated Circuit (ASIC), Electronics, Manufacturing, Semiconductor","Shenzhen, Guangdong, China, Asia",Series B - Yuweitek,https://www.crunchbase.com/funding_round/yuweitek-series-b--267a2363,11,"Anhui Railway Development Fund, China Fortune-Tech Capital, Chuanggu Capital, Cornerstone Capital, Hefei Industry Investment Group, Novartis Capital, Pudong Science and Technology Innovation, Shanghai Guxin Touzi, Yongchangsheng Capital, Yuanhe Houwang, Zhangjiang Science & Technology Investment Corporation",Early Stage Venture,Hefei Industry Investment Group,Series B,1,,,,,,,,,,Yes,,http://www.yuweitk.com,,Early Stage Venture,,"11,310",
2023-01-29,Yaoyu Technology is a developer and producer of liquid crystal displays and liquid crystal display modules.,Yaoyu Technology,https://www.crunchbase.com/organization/yaoyu-technology,"Electronics, Hardware, Manufacturing","Shenzhen, Guangdong, China, Asia",Angel Round - Yaoyu Technology,https://www.crunchbase.com/funding_round/yaoyu-technology-angel--b3d80793,6,"Creation Venture Partners, Focustar Capital, Huitongda, Ralph Lauren, Sinowisdom, Wisemen Capital",Seed,"Creation Venture Partners, Focustar Capital",Angel,1,,,,,,,,,,Yes,,http://www.yaoyu-lcm.com,,Seed,,"40,688",
2023-01-18,Xiopmi Space is a commercial space company to develop a constellation of fully independent hyperspectral remote sensing satellites.,Xiopmi Space,https://www.crunchbase.com/organization/xiopm-space,"Commercial, Remote Sensing, Satellite Communication, Service Industry","Xian, Hunan, China, Asia",Series A - Xiopmi Space,https://www.crunchbase.com/funding_round/xiopm-space-series-a--9e3d2d18,4,"Capitech, Chengdu Venture Capital, Hainan Xuanyou Private Fund, Xi'an Investment Holding",Early Stage Venture,"Capitech, Chengdu Venture Capital, Hainan Xuanyou Private Fund, Xi'an Investment Holding",Series A,1,100000000,CNY,14818986,,,,100000000,CNY,14818986,Yes,,http://www.xiopmi.com/,,Early Stage Venture,,"48,226",
2023-04-12,Blueray Med medical device enterprise focusing on a new generation of optomechanical computing.,Blueray Med,https://www.crunchbase.com/organization/blueray-med,"Health Care, Medical, Medical Device","Beijing, Beijing, China, Asia",Series A - Blueray Med,https://www.crunchbase.com/funding_round/blueray-med-series-a--24104196,2,"Hefei Zhonghe Opple Medical and Health Industry fund, Shaanxi Investment Capital",Early Stage Venture,Hefei Zhonghe Opple Medical and Health Industry fund,Series A,1,,,,,,,,,,Yes,,http://www.blueraymed.com/#about,,Early Stage Venture,2,"48,515",
2023-01-09,Eighteeth focuses on the research and production of dental instruments.,Eighteeth,https://www.crunchbase.com/organization/eighteeth,"Dental, Health Care, Manufacturing, Medical Device","Changzhou, Zhejiang, China, Asia",Series B - Eighteeth,https://www.crunchbase.com/funding_round/eighteeth-series-b--c09d9e51,3,"GF Xinde Investment Management, Motianshi Touzi, Youshuo Venture Capital",Early Stage Venture,GF Xinde Investment Management,Series B,2,100000000,CNY,14765596,,,,100000000,CNY,14765596,Yes,,https://www.eighteeth.com,,Early Stage Venture,1,"49,698",
2023-04-10,Jianan Nongmu focuses on logistics and distribution of agriculture and animal husbandry products.,Jianan Nongmu,https://www.crunchbase.com/organization/jianan-nongmu,"Agriculture, Logistics, Supply Chain Management","Suqian, Jiangsu, China, Asia",Venture Round - Jianan Nongmu,https://www.crunchbase.com/funding_round/jianan-nongmu-series-unknown--667cce8a,2,"Jiangsu Industrial Fund, SDIC Venture Capital",,SDIC Venture Capital,Venture - Series Unknown,4,100000000,CNY,14530449,,,,59507908,USD,59507908,Yes,,http://jaagro.com/,,,,"49,868",
2023-01-04,Ruilong Technology is a battery industrialized recycling solution provider.,Ruilong Technology,https://www.crunchbase.com/organization/ruilong-technology,"Battery, Recycling, Waste Management","Jiangxi, Fujian, China, Asia",Series A - Ruilong Technology,https://www.crunchbase.com/funding_round/ruilong-technology-series-a--4964ace6,4,"Gaoxin Capital, Hanhui Touzi, Midea Group, NIO Capital",Early Stage Venture,NIO Capital,Series A,1,,,,,,,,,,Yes,,http://www.ruilong-tech.com ,,Early Stage Venture,4,"50,443",
2023-01-04,TechBloom China is a digital lean optimization company that offers AIoT technology product and services.,TechBloom China,https://www.crunchbase.com/organization/techbloom,"Information Services, Information Technology, Logistics, Software","Beijing, Beijing, China, Asia",Series C - TechBloom China,https://www.crunchbase.com/funding_round/techbloom-series-c--48f6713c,2,"Dening Capital, SIG venture capital",Late Stage Venture,SIG venture capital,Series C,4,,,,,,,,,,Yes,,http://techbloom.net/,,Late Stage Venture,,"50,649",
2023-02-14,"Jimeng Intelligent is an industrial internet platform that offers integrated big data production, management, and application services.",Jimeng Intelligent,https://www.crunchbase.com/organization/jimeng-intelligent,"Big Data, Data Integration, Data Mining, Internet, Online Portals","Xuhui, Shanghai, China, Asia",Series A - Jimeng Intelligent,https://www.crunchbase.com/funding_round/jimeng-intelligent-series-a--b25a86ad,4,"Chengtan Network, Grand View Capital, Shanda Group, Zenmen",Early Stage Venture,"Chengtan Network, Shanda Group, Zenmen",Series A,1,10000000,CNY,1464794,,,,10000000,CNY,1464794,Yes,,https://jimengio.com,,Early Stage Venture,2,"50,730",
2023-02-24,"Lingtu Technology is a LiDAR research, development, and manufacturing company.",Lingtu Technology,https://www.crunchbase.com/organization/lingtu-technology,"Manufacturing, Sensor","Wuhan, Hubei, China, Asia",Series A - Lingtu Technology,https://www.crunchbase.com/funding_round/lingtu-technology-series-a--57163c4d,2,"Changjiang Industrial Investment Group, Yichang State-Owned Investment Group",Early Stage Venture,"Changjiang Industrial Investment Group, Yichang State-Owned Investment Group",Series A,2,,,,,,,,,,Yes,,https://www.lidar-tech.com,,Early Stage Venture,,"51,442",
