Announced Date,Organization Description,Organization Name,Organization Name URL,Organization Industries,Organization Location,Transaction Name,Transaction Name URL,Number of Investors,Investor Names,Funding Stage,Lead Investors,Funding Type,Number of Funding Rounds,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Partner Investors,CB Rank (Funding Round),Sentiment
2025-05-28,AusperBio is a biotechnology company that develops innovative drugs for curing chronic hepatitis B and other major infectious diseases.,AusperBio,https://www.crunchbase.com/organization/ausperbio,"Biopharma, Biotechnology, Pharmaceutical","Hangzhou, Zhejiang, China, Asia",Series B - AusperBio,https://www.crunchbase.com/funding_round/ausperbio-series-b--1516114a,9,"BioVenture, CDH Investments, Genesis Capital, Hankang Capital, Qiming Venture Partners, Sherpa Healthcare Partners, Yuanbio Ventures, Yuansheng Capital, YuanSheng Ventures",Early Stage Venture,,Series B,4,50000000,USD,50000000,,,,173666990,USD,173666990,Yes,,http://www.ausperbio.com,$10M to $50M,Early Stage Venture,1,47,
2025-05-26,LeXiang Intelligence is a robotics company that specializes in the development of intelligent consumer-grade robots.,LeXiang Intelligence,https://www.crunchbase.com/organization/lexiang-intelligence,"Intelligent Systems, Manufacturing, Robotics","Suzhou, Jiangsu, China, Asia",Seed Round - LeXiang Intelligence,https://www.crunchbase.com/funding_round/lexiang-intelligence-seed--f0bd7fb7,4,"Jinqiu Fund, Matrix Partners China, Monolith Management, Oasis Capital",Seed,Jinqiu Fund,Seed,2,100000000,CNY,13914205,,,,100000000,CNY,13914205,Yes,,http://www.lexangre.com/,,Seed,1,106,
2025-05-12,Jiangling Technology provides high-quality optical measurement and inspection equipment to semiconductor customers around the world.,Engitist,https://www.crunchbase.com/organization/engitist,"Information Technology, Semiconductor, Test and Measurement","Changshu, Jiangxi, China, Asia",Series B - Engitist,https://www.crunchbase.com/funding_round/engitist-series-b--ce3ed854,11,"Beyond Venture Capital, Chaos Investment, Fengyuan Capital, Hefei Industrial Investment Guozheng Equity Investment, Hengqin Hanrui, Hua Capital, Jucheng Capital, Kaifeng Yongxiang, Lingang Digital Technology Fund, Qiming Venture Partners, Stony Creek Capital",Early Stage Venture,"Qiming Venture Partners, Stony Creek Capital",Series B,2,,,,,,,280000000,CNY,38485327,Yes,,http://www.engitist.com/,,Early Stage Venture,1,120,
2025-05-21,Mianbi Smart enables large-scale model acceleration and application execution using artificial intelligence.,Mianbi Smart,https://www.crunchbase.com/organization/mianbi-smart,"Artificial Intelligence (AI), Information Services, Software","Haidian, Beijing, China, Asia",Venture Round - Mianbi Smart,https://www.crunchbase.com/funding_round/mianbi-smart-series-unknown--6598698d,4,"Hongtai Capital Holdings, Maotai Jianxin (Guizhou) Investment Fund, Shenzhen Guozhong Venture Capital Management, Sinoking Capital",,,Venture - Series Unknown,5,,,,,,,10000000,CNY,1477367,Yes,,https://modelbest.cn,,,,145,
2025-01-07,Suzhou Botree Cycling Sci & Tech Co. is an energy company that provides solutions for the recycling of critical battery materials.,Suzhou Botree Cycling Sci & Tech Co.,https://www.crunchbase.com/organization/suzhou-botree-cycling-sci-tech-co,"Battery, Energy, Manufacturing, Recycling","Suzhou, Jiangsu, China, Asia",Series B - Suzhou Botree Cycling Sci & Tech Co.,https://www.crunchbase.com/funding_round/suzhou-botree-cycling-sci-tech-co-series-b--ad9c8c63,2,"Sinopec Capital, Taiping Science and Technology Innovation Fund",Early Stage Venture,Sinopec Capital,Series B,1,100000000,CNY,13649175,,,,100000000,CNY,13649175,Yes,,https://www.botree.tech,$1M to $10M,Early Stage Venture,,148,
2025-05-23,Xinhui Aerospace is a company specializing in the development and manufacturing of aerospace electric servo systems.,Xinhui Aerospace,https://www.crunchbase.com/organization/xinhui-aerospace,"Aerospace, Manufacturing","Shenzhen, Guangdong, China, Asia",Seed Round - Xinhui Aerospace,https://www.crunchbase.com/funding_round/xinhui-aerospace-seed--18174eeb,2,"Cowin Capital, Xiaomiao Langcheng",Seed,"Cowin Capital, Xiaomiao Langcheng",Seed,1,,,,,,,,,,Yes,,,,Seed,2,160,
2025-05-15,Magic Atom is a robotics company that specializes in the development and application of robots and embodied intelligent technologies.,Magic Atom,https://www.crunchbase.com/organization/magic-atom,"Intelligent Systems, Manufacturing, Robotics","Wuxi Shi, Jiangsu, China, Asia",Seed Round - Magic Atom,https://www.crunchbase.com/funding_round/magic-atom-seed--22d786c6,7,"He Chuang Zhiyuan, Huaying Capital, Kington Capital, Morning Spring Venture, Oriza Holdings, Xinlian Capital, Zhuichuang Venture Capital",Seed,,Seed,2,,,,,,,150000000,CNY,20553013,Yes,,https://magiclab.top,,Seed,3,169,
2025-05-08,i-KINGTEC is a developer of intelligent industrial drone and UAV systems.,i-KINGTEC,https://www.crunchbase.com/organization/i-kingtec,"AgTech, Artificial Intelligence (AI), Robotics","Haidian, Beijing, China, Asia",Series D - i-KINGTEC,https://www.crunchbase.com/funding_round/i-kingtec-series-d--edeb0346,1,Broad Vision Funds,Late Stage Venture,Broad Vision Funds,Series D,7,500000000,CNY,69200800,,,,780000000,CNY,110156812,Yes,,http://ikingtec.com,,Late Stage Venture,,188,
2025-05-27,LongBio Pharma is a biotech company that treats patients with an emphasis on complement and allergy diseases.,LongBio Pharma,https://www.crunchbase.com/organization/longbio-pharma,"Biotechnology, Medical, Pharmaceutical","Pudong, Shandong, China, Asia",Series C - LongBio Pharma,https://www.crunchbase.com/funding_round/longbio-pharma-series-c--20e283e4,5,"Beida Fund, Highlight Capital, Qiming Venture Partners, Sanyi Capital, Shanghai Lingang Blue Bay Capital",Late Stage Venture,,Series C,3,200000000,CNY,27822216,,,,360000000,CNY,50023721,Yes,,http://www.longbio.com,,Late Stage Venture,,190,
2025-05-29,"Suzhou Brightway Intelligent is a manufacturing, distributing, and R&D company that makes E-scooters and E-bikes.",Suzhou Brightway Intelligent Technology,https://www.crunchbase.com/organization/tantu-intelligent,"Automotive, Electric Vehicle, Manufacturing","Suzhou, Jiangsu, China, Asia",Series B - Suzhou Brightway Intelligent Technology,https://www.crunchbase.com/funding_round/tantu-intelligent-series-b--ba2c0786,1,Zhuichuang Venture Capital,Early Stage Venture,Zhuichuang Venture Capital,Series B,2,200000000,CNY,27824538,,,,200000000,CNY,27824538,Yes,,https://naveetech.com/,,Early Stage Venture,1,197,
